STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ARUNACHAL PRADESH,42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8
ASSAM,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2
MEGHALAYA,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4
MANIPUR,54.5,50.0,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237.0,56.9,15.0
MIZORAM,13.4,21.8,83.0,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5
NAGALAND,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7
TRIPURA,8.1,30.6,78.5,169.7,335.0,474.9,497.4,396.8,255.1,175.1,44.5,9.7
WEST BENGAL,9.2,17.8,39.7,119.3,339.3,667.3,931.4,670.9,488.3,159.9,18.0,7.2
SIKKIM,33.5,56.1,61.7,175.5,291.7,464.6,509.0,441.0,356.6,154.7,18.4,19.4
ORISSA,6.0,14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9
JHARKHAND,19.1,18.9,15.5,23.9,35.0,237.8,459.4,404.7,281.2,58.8,12.6,6.2
BIHAR,6.1,10.9,12.8,39.6,107.1,249.4,515.1,352.8,290.8,94.6,3.7,10.0
UTTARANCHAL,75.6,73.3,85.4,54.7,94.1,217.7,578.0,639.4,236.0,52.6,13.7,30.4
HARYANA,9.1,7.9,5.9,4.3,7.7,28.1,160.4,171.8,86.6,20.0,3.1,3.2
CHANDIGARH,44.3,38.9,33.2,14.8,30.1,120.0,282.4,287.5,154.3,31.8,9.9,23.4
DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6
PUNJAB,18.0,18.3,21.5,10.4,12.4,23.5,133.6,111.4,68.3,17.8,4.5,9.5
HIMACHAL,58.4,53.3,42.4,20.4,31.9,140.9,508.0,485.6,190.1,44.0,9.2,34.1
JAMMU AND KASHMIR,144.5,190.8,211.6,112.9,85.0,61.4,132.2,120.2,86.8,42.1,43.6,97.3
RAJASTHAN,4.0,2.2,3.7,2.6,12.3,68.1,176.8,177.6,83.5,13.7,6.9,3.1
GUJARAT,0.2,0.0,0.1,0.3,4.7,99.7,168.8,148.1,83.2,17.5,11.3,0.7
MAHARASHTRA,1.0,1.0,0.4,1.0,18.0,539.0,785.4,508.7,309.3,77.1,12.3,4.3
GOA,0.7,0.1,0.4,6.6,81.2,866.4,1033.6,637.4,269.5,145.7,34.9,9.1
CHATISGARH,6.2,4.2,11.9,18.9,12.4,195.9,458.2,486.1,228.9,92.8,9.4,3.3
ANDHRA PRADESH,3.0,3.3,6.1,18.9,56.7,55.2,64.3,74.5,128.8,115.0,35.3,11.6
TAMIL NADU,7.1,6.0,13.4,48.0,73.7,22.0,27.1,31.7,74.0,147.7,120.0,46.6
